GENESIS-Tabelle: 21211-003Z
Berufsbildung: Abschlußprüfungen,;;;;;;;;;
Ausbildungsbereiche, Prüfungserfolg;;;;;;;;;
- Sachsen - Jahre ab 1993;;;;;;;;;
Berufsbildung;;;;;;;;;
Freistaat Sachsen;;;;;;;;;
Abschlussprüfungen in der beruflichen Ausbildung (Anzahl);;;;;;;;;
;;Insgesamt;männlich;weiblich;mit vorzeitiger Zulassung;Prüfungswiederholer;Darunter mit bestandener Abschlussprüfung;Darunter mit bestandener Abschlussprüfung;Darunter mit bestandener Abschlussprüfung
;;;;;;;Insgesamt;männlich;weiblich
Landwirtschaft;2010;175;869;353;11;164;1015;720;295
Landwirtschaft;2011;168;735;325;17;151;896;612;284
Landwirtschaft;2012;134;562;260;11;123;707;485;222
Landwirtschaft;2013;94;476;231;10;84;654;435;219
Landwirtschaft;2014;93;480;188;14;79;624;446;178
Landwirtschaft;2015;68;422;167;8;60;518;372;146
Landwirtschaft;2016;66;369;141;13;53;488;350;138
Öffentlicher Dienst;1993;62;215;509;2;60;615;182;433
Öffentlicher Dienst;1994;214;727;1436;51;163;1808;645;1163
Öffentlicher Dienst;1995;181;749;1247;35;146;1761;634;1127
Öffentlicher Dienst;1996;246;704;1360;55;191;1762;610;1152
Öffentlicher Dienst;1997;328;848;1220;73;255;1798;707;1091
Öffentlicher Dienst;1998;206;628;1266;33;173;1584;544;1040
Öffentlicher Dienst;1999;230;530;1121;25;205;1447;464;983
Öffentlicher Dienst;2000;143;454;1026;26;117;1345;394;951
Öffentlicher Dienst;2001;107;411;820;27;80;1153;380;773
Öffentlicher Dienst;2002;100;355;910;18;82;1118;324;794
Öffentlicher Dienst;2003;104;297;681;25;79;865;262;603
Öffentlicher Dienst;2004;109;329;676;28;81;932;299;633
Öffentlicher Dienst;2005;96;392;673;6;90;968;337;631
Öffentlicher Dienst;2006;102;359;638;2;100;887;317;570
Öffentlicher Dienst;2007;4;282;531;3;1;808;278;530
Öffentlicher Dienst;2008;15;275;499;5;10;728;256;472
Öffentlicher Dienst;2009;31;259;532;11;20;762;244;518
Öffentlicher Dienst;2010;57;268;519;20;37;754;253;501
Öffentlicher Dienst;2011;37;250;501;10;27;722;229;493
Öffentlicher Dienst;2012;69;259;474;31;38;703;237;466
Öffentlicher Dienst;2013;42;243;393;17;25;617;229;388
Öffentlicher Dienst;2014;43;216;378;25;18;577;205;372
Öffentlicher Dienst;2015;29;207;382;13;16;571;196;375
Öffentlicher Dienst;2016;23;214;369;6;17;556;195;361
Freie Berufe;1993;40;444;1668;5;35;1967;418;1549
Freie Berufe;1994;201;554;3811;12;189;3785;475;3310
Freie Berufe;1995;270;233;3163;1;269;3046;200;2846
Freie Berufe;1996;112;151;2178;5;107;2049;120;1929
Freie Berufe;1997;180;128;1874;16;164;1721;90;1631
Freie Berufe;1998;145;85;1831;14;131;1761;69;1692
Freie Berufe;1999;122;94;1690;18;104;1700;80;1620
Freie Berufe;2000;132;88;1751;22;110;1663;70;1593
Freie Berufe;2001;102;63;1450;25;77;1392;53;1339
Freie Berufe;2002;82;41;1214;6;76;1153;34;1119
Freie Berufe;2003;123;75;1393;16;107;1334;65;1269
Freie Berufe;2004;126;75;1343;25;101;1325;65;1260
Freie Berufe;2005;130;65;1229;19;111;1181;55;1126
Freie Berufe;2006;132;81;1170;27;105;1109;68;1041
Freie Berufe;2007;70;70;1002;10;60;997;63;934
Freie Berufe;2008;61;57;627;8;53;623;47;576
Freie Berufe;2009;118;60;775;79;39;759;52;707
Freie Berufe;2010;81;61;875;30;51;847;57;790
Freie Berufe;2011;101;58;788;35;66;746;55;691
Freie Berufe;2012;113;65;826;24;89;772;59;713
Freie Berufe;2013;134;64;751;33;101;683;54;629
Freie Berufe;2014;152;80;784;30;122;697;70;627
Freie Berufe;2015;133;91;723;17;116;680;82;598
Freie Berufe;2016;161;73;747;46;115;699;62;637
Hauswirtschaft;1993;25;1;51;13;12;42;1;41
Hauswirtschaft;1994;58;23;3465;-;58;3229;21;3208
Hauswirtschaft;1995;130;15;1571;-;130;1429;7;1422
Hauswirtschaft;1996;101;11;1244;-;101;1118;9;1109
Hauswirtschaft;1997;101;28;967;-;101;872;24;848
Hauswirtschaft;1998;72;31;884;-;72;747;21;726
Hauswirtschaft;1999;19;81;854;-;19;849;72;777
Hauswirtschaft;2000;40;26;1007;-;40;933;22;911
Hauswirtschaft;2001;63;20;976;-;63;893;18;875
Hauswirtschaft;2002;66;21;854;-;66;639;4;635
Hauswirtschaft;2003;204;98;939;-;204;824;81;743
Hauswirtschaft;2004;125;21;962;-;125;778;20;758
Hauswirtschaft;2005;145;73;988;-;145;827;59;768
Hauswirtschaft;2006;180;108;1028;1;179;899;87;812
Hauswirtschaft;2007;10;21;268;-;10;256;20;236
Hauswirtschaft;2008;25;31;234;-;25;253;29;224
Hauswirtschaft;2009;13;37;270;-;13;276;32;244
Hauswirtschaft;2010;28;32;239;-;28;242;29;213
Hauswirtschaft;2011;19;25;167;-;19;163;20;143
Hauswirtschaft;2012;20;16;163;-;20;160;9;151
Hauswirtschaft;2013;9;17;122;1;8;128;16;112
Hauswirtschaft;2014;7;9;98;-;7;104;8;96
Hauswirtschaft;2015;5;8;81;-;5;82;7;75
Hauswirtschaft;2016;5;6;78;-;5;82;5;77
__________
"1) 2007: Auf Grund der Umstellung der Statistik lieferten
nicht alle Kammern/zuständige Stellen alle Erhebungsmerkmale
vollständig."
c Statistisches Landesamt des Freistaates Sachsen, Kamenz, 2021
Stand: 05.05.2021 / 21:16:10
